horizon_hours,SID,SEASON,origins,storms,track_mean_km,track_median_km,track_p90_km,track_p95_km,wind_mae_kt,wind_rmse_kt,wind_bias_kt,storm_macro_track_mean_km,storm_macro_wind_mae_kt,storm_track_ci95_low_km,storm_track_ci95_high_km,storm_wind_mae_ci95_low_kt,storm_wind_mae_ci95_high_kt
6,2020233N14313,2020,32,1,25.868810557266684,21.116759316794266,45.59976110157873,64.09014992906187,4.396328822622046,6.31748357770684,-1.5487943526749,25.868810557266684,4.396328822622046,25.868810557266684,25.868810557266684,4.396328822622046,4.396328822622046
6,2024306N39319,2024,6,1,25.800302713984678,23.03982060109916,44.38728462907724,47.607431947832985,4.086951363759563,4.615385152906211,2.294432802694042,25.800302713984678,4.086951363759563,25.800302713984678,25.800302713984678,4.086951363759563,4.086951363759563
6,2023258N14318,2023,23,1,25.764518095717346,23.61620688444559,44.522342773859855,50.96614804264667,2.5601513976303023,3.370830100721309,-0.2492835218172501,25.764518095717346,2.5601513976303023,25.764518095717346,25.764518095717346,2.5601513976303023,2.5601513976303023
6,2020203N09323,2020,12,1,25.238769763986465,19.836500782776753,41.925780753297026,51.167148147968284,2.9944300448896173,3.8339234344055746,1.51205311363319,25.238769763986465,2.9944300448896173,25.238769763986465,25.238769763986465,2.9944300448896173,2.9944300448896173
6,2024274N14328,2024,26,1,25.0784150211928,21.731900190529508,38.082422046124854,62.02991554023866,3.9269548505372263,5.371980970033278,-0.97949093231817,25.0784150211928,3.9269548505372263,25.0784150211928,25.0784150211928,3.9269548505372263,3.9269548505372263
6,2020211N13306,2020,19,1,24.97555051716472,19.012952903535293,48.55745686523098,56.36958152200212,5.930153312847999,7.642241902567805,1.3175094127907119,24.97555051716472,5.930153312847999,24.97555051716472,24.97555051716472,5.930153312847999,5.930153312847999
6,2021222N14301,2021,12,1,24.917854149420446,20.950807617508232,41.230456063462924,46.25362785145154,3.649616212213187,4.52346965136935,0.6840044616800833,24.917854149420446,3.649616212213187,24.917854149420446,24.917854149420446,3.649616212213187,3.649616212213187
6,2021272N07338,2021,15,1,24.723878062729806,25.077670886308304,35.130972186552775,44.989676814384026,2.925481999023819,3.539646917441454,1.108499165512331,24.723878062729806,2.925481999023819,24.723878062729806,24.723878062729806,2.925481999023819,2.925481999023819
6,2023266N16323,2023,48,1,24.576116852051328,22.71894362377742,45.67700155971793,48.79862536169159,2.3138100670168718,2.9855886422494637,0.32087910226433713,24.576116852051328,2.3138100670168718,24.576116852051328,24.576116852051328,2.3138100670168718,2.3138100670168718
6,2025223N17337,2025,42,1,24.50723131332712,21.822371297438163,46.37800885884996,50.995471630059754,4.066027219397914,5.9884480574563685,0.23754547111568888,24.50723131332712,4.066027219397914,24.50723131332712,24.50723131332712,4.066027219397914,4.066027219397914
6,2025236N27298,2025,11,1,24.468599736794953,19.977432528712107,37.80396114640546,44.2677290579751,3.6515103969623324,3.9696665190421387,-0.2483291915683859,24.468599736794953,3.6515103969623324,24.468599736794953,24.468599736794953,3.6515103969623324,3.6515103969623324
6,2021266N10327,2021,45,1,23.459327443210547,20.230220117824683,38.07813557451445,49.46282631478311,3.8900714369529,4.918159766783833,-1.7889383968584562,23.459327443210547,3.8900714369529,23.459327443210547,23.459327443210547,3.8900714369529,3.8900714369529
6,2020205N26272,2020,11,1,23.402126184669633,24.358770203389973,34.979240352946334,37.97790406209581,4.230398957472527,5.451299365512072,-3.502091632222081,23.402126184669633,4.230398957472527,23.402126184669633,23.402126184669633,4.230398957472527,4.230398957472527
6,2024181N09320,2024,39,1,23.322712469830634,23.168887023775685,35.60527976318753,49.69543433834494,5.947337208886968,7.479675914164314,1.0228114074300998,23.322712469830634,5.947337208886968,23.322712469830634,23.322712469830634,5.947337208886968,5.947337208886968
6,2020251N17319,2020,35,1,23.148075637956516,15.194959322179416,45.047440306447854,54.385330977429675,2.6807097121142047,3.327529947864329,-0.05244295807939454,23.148075637956516,2.6807097121142047,23.148075637956516,23.148075637956516,2.6807097121142047,2.6807097121142047
6,2025261N19312,2025,27,1,23.049443850349878,17.82827200617863,44.26058199985254,49.39611895195318,2.7635138679567257,3.97498904879331,-1.5182503846829374,23.049443850349878,2.7635138679567257,23.049443850349878,23.049443850349878,2.7635138679567257,2.7635138679567257
6,2021239N17281,2021,19,1,22.819452842440803,23.543537395764524,35.736528696622955,41.7148241875358,4.67320026985444,6.139489631100603,-1.6339405429067977,22.819452842440803,4.67320026985444,22.819452842440803,22.819452842440803,4.67320026985444,4.67320026985444
6,2024256N16332,2024,19,1,22.748195307156497,16.735935948462075,44.6773433830084,49.19767923753137,1.7547059117075867,2.4858400523687734,-0.24466616009171105,22.748195307156497,1.7547059117075867,22.748195307156497,22.748195307156497,1.7547059117075867,1.7547059117075867
6,2020245N16285,2020,6,1,22.65394146467338,20.067745359618208,32.499168785782494,33.89460113894244,6.959188500555457,10.30838128248005,2.0886285698150133,22.65394146467338,6.959188500555457,22.65394146467338,22.65394146467338,6.959188500555457,6.959188500555457
6,2022280N11294,2022,7,1,22.47774035160284,20.09583874295153,31.40300214480759,35.349520068279034,6.24145124855994,8.209291439995745,1.7239248208377032,22.47774035160284,6.24145124855994,22.47774035160284,22.47774035160284,6.24145124855994,6.24145124855994
6,2025280N11319,2025,13,1,22.375460705520013,26.459601264867977,35.62982725316493,41.144560055721215,2.5735690175021086,3.6424409366799804,0.46795601368285517,22.375460705520013,2.5735690175021086,22.375460705520013,22.375460705520013,2.5735690175021086,2.5735690175021086
6,2021262N10333,2021,9,1,22.247133646617005,19.387245073307454,39.20902745667818,41.577509529024816,3.8784379113530636,6.064260777423468,0.9035444288443494,22.247133646617005,3.8784379113530636,22.247133646617005,22.247133646617005,3.8784379113530636,3.8784379113530636
6,2022154N21273,2022,1,1,22.202509310682828,22.202509310682828,22.202509310682828,22.202509310682828,6.510341976051528,6.510341976051528,6.510341976051528,22.202509310682828,6.510341976051528,22.202509310682828,22.202509310682828,6.510341976051528,6.510341976051528
6,2020258N18332,2020,11,1,22.10475614047755,20.65918731678394,35.89295232447808,43.51004983614159,1.9449221262578598,2.4607000403366177,0.7111156922069181,22.10475614047755,1.9449221262578598,22.10475614047755,22.10475614047755,1.9449221262578598,1.9449221262578598
6,2020261N10335,2020,9,1,21.8973607150979,20.826593186469378,35.12389765144525,40.07963688752208,1.1619113083044492,1.9375905661681576,0.8643039259954767,21.8973607150979,1.1619113083044492,21.8973607150979,21.8973607150979,1.1619113083044492,1.1619113083044492
6,2022304N16287,2022,15,1,21.615974250403518,17.655546094636684,38.33761638336168,45.88766638861159,4.360775795921947,6.2715810389808055,2.036786701876717,21.615974250403518,4.360775795921947,21.615974250403518,21.615974250403518,4.360775795921947,4.360775795921947
6,2023249N12320,2023,38,1,21.251956624654458,17.327016610068817,42.424790000117454,55.153328739584005,3.7171079485177105,5.716339490922258,0.28686837350958877,21.251956624654458,3.7171079485177105,21.251956624654458,21.251956624654458,3.7171079485177105,3.7171079485177105
6,2024275N10336,2024,36,1,21.236833318609083,17.96290117307003,42.90140371595176,49.76188264771022,2.590396395719112,3.4561761803249493,0.4865984167146643,21.236833318609083,2.590396395719112,21.236833318609083,21.236833318609083,2.590396395719112,2.590396395719112
6,2023231N15313,2023,18,1,21.112895175796382,17.81730253500391,34.72183388003868,40.379817003249734,2.703768387287367,3.185264720508812,0.3977524126647716,21.112895175796382,2.703768387287367,21.112895175796382,21.112895175796382,2.703768387287367,2.703768387287367
6,2023242N15339,2023,9,1,20.94760144999377,21.762957589098534,28.756992240627802,31.894172344957585,3.3101698209129227,4.052996769661795,0.7734273093557332,20.94760144999377,3.3101698209129227,20.94760144999377,20.94760144999377,3.3101698209129227,3.3101698209129227
