model,horizon_hours,issue_intensity_bin,origins,storms,track_mean_km,track_median_km,track_p90_km,track_p95_km,wind_mae_kt,wind_rmse_kt,wind_bias_kt,storm_macro_track_mean_km,storm_macro_wind_mae_kt,storm_track_ci95_low_km,storm_track_ci95_high_km,storm_wind_mae_ci95_low_kt,storm_wind_mae_ci95_high_kt
ridge,12,Cat 3 (96-112),96,23,46.111298750203495,37.077816420651615,90.33993530641231,102.19426230083927,11.435632151163455,16.41782789483425,0.45396839929995164,58.46171138933277,19.223763693517782,48.06862910882128,69.31667909138325,13.802350776330714,25.201503774954173
ridge,12,Major (>=113),127,19,51.4601012842179,42.17083913305464,87.76925333705381,132.68061853710537,12.730399372363584,19.09176023002213,5.00408863851829,55.43652694267761,19.431464440951178,42.35185890539921,73.25135939980201,12.794506838310888,28.136096517671458
ridge,12,TD (<34),127,30,62.214400279454956,56.37096107616526,112.90636856043824,143.48121052425196,3.4310619279302177,4.486264494862088,-0.20525806209516564,62.917513028455076,4.068131279195819,51.29778700319834,75.59996575797621,3.134700971632105,5.363152348463062
ridge,12,TS (34-63),864,94,62.42323887101448,51.79378603040524,122.58179280892514,146.58480663179722,5.665573112056896,7.269427387556692,-0.2442657430651803,61.1011050318214,6.487124725045027,56.427406110045204,66.04387431874638,5.92263512925537,7.105976266693787
ridge,24,Cat 1 (64-82),281,48,168.53039272923837,136.59634937795227,321.4443509943424,485.8913452534154,17.341583881960634,23.431661051433544,-6.625028291731498,168.8967306369547,24.069641479612375,145.50342439037271,196.60462667501716,20.38246075837325,28.3127564238105
ridge,24,Cat 2 (83-95),111,31,170.76295103750437,145.05746733071692,326.60394013602246,440.7215305743092,14.094373184019243,19.50134011339049,-3.6805096881916897,185.61067657422726,18.428977054798874,150.4776006279914,228.20494436744343,13.695642648006684,23.66639697368693
ridge,24,Cat 3 (96-112),92,20,109.2612995526754,99.29373291387931,197.45378951059462,252.5308934192976,14.602027439411833,20.40500370705849,-2.2774889927937174,129.08834717586245,20.915934382733205,103.41355928303533,157.20817583275473,14.684457329934352,27.327854286982422
ridge,24,Major (>=113),123,18,125.26893192555883,105.60457153125232,243.78807305652245,290.415611706423,21.72345742633805,30.331245348213855,10.363293372653843,120.33179124472667,29.609543855210063,97.12449725059493,145.3989054802668,19.539837232122398,40.39499273433329
ridge,24,TD (<34),93,24,149.43311982409716,122.65805935534644,290.56463977052687,309.4310970540207,5.786035639328215,7.29128884708914,0.5756782212019752,141.5244691709175,6.3825155998805165,112.15319027091519,175.96170394700877,4.850755352143491,8.097967227041952
ridge,24,TS (34-63),765,85,155.8088628648639,133.6836494735295,296.13213463516246,362.6014192662509,10.186435455059696,13.409761613173051,-0.5162175668569797,152.00737335932428,12.938845361453348,137.19438341799406,167.10736851976472,11.169140388248152,15.012529853473367
ridge,48,Cat 1 (64-82),208,41,341.35712498351415,288.5018220049634,649.153508908892,835.9382949473331,20.612450121988157,26.709108600514067,-9.509183235705565,370.4715333233355,26.781596626752865,311.1757825043144,426.8030394100238,21.72248252437902,32.08350115975505
