month,actual,forecast,model,split
2024-05-01 00:00:00+00:00,0.0,0.0,arima,test
2024-06-01 00:00:00+00:00,3.0,0.0,arima,test
2024-07-01 00:00:00+00:00,0.0,3.0000000000000004,arima,test
2024-08-01 00:00:00+00:00,2.0,4.440892098500626e-16,arima,test
2024-09-01 00:00:00+00:00,6.0,2.0,arima,test
2024-10-01 00:00:00+00:00,4.0,6.0,arima,test
2024-11-01 00:00:00+00:00,3.0,3.9999999999999996,arima,test
2024-12-01 00:00:00+00:00,0.0,3.0,arima,test
2025-01-01 00:00:00+00:00,0.0,-4.440892098500626e-16,arima,test
2025-02-01 00:00:00+00:00,0.0,9.860761315262648e-32,arima,test
2025-03-01 00:00:00+00:00,0.0,0.0,arima,test
2025-04-01 00:00:00+00:00,0.0,6.077163357286271e-64,arima,test
2025-05-01 00:00:00+00:00,0.0,0.0,arima,test
2025-06-01 00:00:00+00:00,2.0,0.0,arima,test
2025-07-01 00:00:00+00:00,1.0,1.9999999999999998,arima,test
2025-08-01 00:00:00+00:00,3.0,1.0,arima,test
2025-09-01 00:00:00+00:00,3.0,2.9999999999999996,arima,test
2025-10-01 00:00:00+00:00,4.0,3.0,arima,test
2025-11-01 00:00:00+00:00,0.0,4.0,arima,test
2025-12-01 00:00:00+00:00,0.0,4.440892098500626e-16,arima,test
2016-01-01 00:00:00+00:00,1.0,0.0,sarima,validation
2016-02-01 00:00:00+00:00,0.0,0.0,sarima,validation
2016-03-01 00:00:00+00:00,0.0,0.0,sarima,validation
2016-04-01 00:00:00+00:00,0.0,0.0,sarima,validation
2016-05-01 00:00:00+00:00,1.0,1.0,sarima,validation
2016-06-01 00:00:00+00:00,2.0,1.0,sarima,validation
2016-07-01 00:00:00+00:00,0.0,1.0,sarima,validation
2016-08-01 00:00:00+00:00,5.0,3.0,sarima,validation
2016-09-01 00:00:00+00:00,5.0,5.0,sarima,validation
2016-10-01 00:00:00+00:00,1.0,0.0,sarima,validation
2016-11-01 00:00:00+00:00,1.0,1.0,sarima,validation
2016-12-01 00:00:00+00:00,0.0,0.0,sarima,validation
2017-01-01 00:00:00+00:00,0.0,1.0,sarima,validation
2017-02-01 00:00:00+00:00,0.0,0.0,sarima,validation
2017-03-01 00:00:00+00:00,0.0,0.0,sarima,validation
2017-04-01 00:00:00+00:00,1.0,0.0,sarima,validation
2017-05-01 00:00:00+00:00,0.0,1.0,sarima,validation
2017-06-01 00:00:00+00:00,2.0,1.9999999999999998,sarima,validation
2017-07-01 00:00:00+00:00,3.0,0.0,sarima,validation
2017-08-01 00:00:00+00:00,4.0,5.0,sarima,validation
2017-09-01 00:00:00+00:00,4.0,5.0,sarima,validation
2017-10-01 00:00:00+00:00,3.0,1.0,sarima,validation
2017-11-01 00:00:00+00:00,1.0,1.0,sarima,validation
2017-12-01 00:00:00+00:00,0.0,1.3684555315672042e-48,sarima,validation
2018-01-01 00:00:00+00:00,0.0,0.0,sarima,validation
2018-02-01 00:00:00+00:00,0.0,0.0,sarima,validation
2018-03-01 00:00:00+00:00,0.0,0.0,sarima,validation
2018-04-01 00:00:00+00:00,0.0,1.0,sarima,validation
2018-05-01 00:00:00+00:00,1.0,0.0,sarima,validation
2018-06-01 00:00:00+00:00,0.0,2.0,sarima,validation
2018-07-01 00:00:00+00:00,2.0,3.0,sarima,validation
2018-08-01 00:00:00+00:00,3.0,4.0,sarima,validation
2018-09-01 00:00:00+00:00,7.0,4.0,sarima,validation
2018-10-01 00:00:00+00:00,3.0,3.0,sarima,validation
2018-11-01 00:00:00+00:00,0.0,1.0,sarima,validation
2018-12-01 00:00:00+00:00,0.0,0.0,sarima,validation
2019-01-01 00:00:00+00:00,0.0,0.0,sarima,validation
2019-02-01 00:00:00+00:00,0.0,0.0,sarima,validation
2019-03-01 00:00:00+00:00,0.0,0.0,sarima,validation
2019-04-01 00:00:00+00:00,0.0,0.0,sarima,validation
2019-05-01 00:00:00+00:00,1.0,1.0,sarima,validation
2019-06-01 00:00:00+00:00,0.0,0.0,sarima,validation
2019-07-01 00:00:00+00:00,2.0,2.0,sarima,validation
2019-08-01 00:00:00+00:00,3.0,3.0,sarima,validation
2019-09-01 00:00:00+00:00,7.0,7.0,sarima,validation
2019-10-01 00:00:00+00:00,6.0,3.0,sarima,validation
2019-11-01 00:00:00+00:00,1.0,0.0,sarima,validation
2019-12-01 00:00:00+00:00,0.0,0.0,sarima,validation
2020-01-01 00:00:00+00:00,0.0,0.0,sarima,test
2020-02-01 00:00:00+00:00,0.0,0.0,sarima,test
2020-03-01 00:00:00+00:00,0.0,0.0,sarima,test
2020-04-01 00:00:00+00:00,0.0,0.0,sarima,test
2020-05-01 00:00:00+00:00,2.0,1.0,sarima,test
2020-06-01 00:00:00+00:00,2.0,0.0,sarima,test
2020-07-01 00:00:00+00:00,6.0,2.0,sarima,test
2020-08-01 00:00:00+00:00,5.0,3.0,sarima,test
2020-09-01 00:00:00+00:00,9.0,7.0,sarima,test
2020-10-01 00:00:00+00:00,5.0,6.0,sarima,test
2020-11-01 00:00:00+00:00,2.0,1.0,sarima,test
2020-12-01 00:00:00+00:00,0.0,0.0,sarima,test
2021-01-01 00:00:00+00:00,0.0,0.0,sarima,test
2021-02-01 00:00:00+00:00,0.0,0.0,sarima,test
2021-03-01 00:00:00+00:00,0.0,0.0,sarima,test
2021-04-01 00:00:00+00:00,0.0,0.0,sarima,test
2021-05-01 00:00:00+00:00,1.0,2.0,sarima,test
2021-06-01 00:00:00+00:00,4.0,2.0,sarima,test
2021-07-01 00:00:00+00:00,0.0,6.0,sarima,test
2021-08-01 00:00:00+00:00,7.0,5.0,sarima,test
2021-09-01 00:00:00+00:00,8.0,9.0,sarima,test
2021-10-01 00:00:00+00:00,1.0,5.0,sarima,test
2021-11-01 00:00:00+00:00,0.0,1.9999999999999998,sarima,test
2021-12-01 00:00:00+00:00,0.0,0.0,sarima,test
2022-01-01 00:00:00+00:00,0.0,0.0,sarima,test
2022-02-01 00:00:00+00:00,0.0,0.0,sarima,test
2022-03-01 00:00:00+00:00,0.0,0.0,sarima,test
2022-04-01 00:00:00+00:00,0.0,0.0,sarima,test
2022-05-01 00:00:00+00:00,0.0,1.0,sarima,test
2022-06-01 00:00:00+00:00,1.0,4.0,sarima,test
2022-07-01 00:00:00+00:00,2.0,0.0,sarima,test
2022-08-01 00:00:00+00:00,0.0,7.0,sarima,test
2022-09-01 00:00:00+00:00,7.0,8.0,sarima,test
2022-10-01 00:00:00+00:00,4.0,1.0,sarima,test
2022-11-01 00:00:00+00:00,2.0,2.220446049250313e-16,sarima,test
2022-12-01 00:00:00+00:00,0.0,2.308244654446434e-128,sarima,test
2023-01-01 00:00:00+00:00,1.0,1.8726705418768793e-96,sarima,test
2023-02-01 00:00:00+00:00,0.0,0.0,sarima,test
2023-03-01 00:00:00+00:00,0.0,0.0,sarima,test
2023-04-01 00:00:00+00:00,0.0,0.0,sarima,test
2023-05-01 00:00:00+00:00,0.0,0.0,sarima,test
2023-06-01 00:00:00+00:00,3.0,1.0,sarima,test
2023-07-01 00:00:00+00:00,1.0,2.0,sarima,test
2023-08-01 00:00:00+00:00,7.0,0.0,sarima,test
2023-09-01 00:00:00+00:00,6.0,7.0,sarima,test
2023-10-01 00:00:00+00:00,3.0,3.9999999999999996,sarima,test
2023-11-01 00:00:00+00:00,0.0,2.0,sarima,test
2023-12-01 00:00:00+00:00,0.0,0.0,sarima,test
2024-01-01 00:00:00+00:00,0.0,1.0,sarima,test
2024-02-01 00:00:00+00:00,0.0,0.0,sarima,test
2024-03-01 00:00:00+00:00,0.0,0.0,sarima,test
2024-04-01 00:00:00+00:00,0.0,0.0,sarima,test
2024-05-01 00:00:00+00:00,0.0,0.0,sarima,test
2024-06-01 00:00:00+00:00,3.0,3.0000000000000004,sarima,test
2024-07-01 00:00:00+00:00,0.0,1.0,sarima,test
2024-08-01 00:00:00+00:00,2.0,7.0,sarima,test
2024-09-01 00:00:00+00:00,6.0,6.0,sarima,test
2024-10-01 00:00:00+00:00,4.0,3.0,sarima,test
2024-11-01 00:00:00+00:00,3.0,0.0,sarima,test
2024-12-01 00:00:00+00:00,0.0,0.0,sarima,test
2025-01-01 00:00:00+00:00,0.0,0.0,sarima,test
2025-02-01 00:00:00+00:00,0.0,0.0,sarima,test
2025-03-01 00:00:00+00:00,0.0,0.0,sarima,test
2025-04-01 00:00:00+00:00,0.0,2.07908195312898e-112,sarima,test
2025-05-01 00:00:00+00:00,0.0,0.0,sarima,test
2025-06-01 00:00:00+00:00,2.0,3.0,sarima,test
2025-07-01 00:00:00+00:00,1.0,0.0,sarima,test
2025-08-01 00:00:00+00:00,3.0,2.0,sarima,test
2025-09-01 00:00:00+00:00,3.0,6.0,sarima,test
2025-10-01 00:00:00+00:00,4.0,4.0,sarima,test
2025-11-01 00:00:00+00:00,0.0,3.0,sarima,test
2025-12-01 00:00:00+00:00,0.0,0.0,sarima,test
2016-01-01 00:00:00+00:00,1.0,0.8714294567890093,holt_winters,validation
2016-02-01 00:00:00+00:00,0.0,1.2026579314045671,holt_winters,validation
2016-03-01 00:00:00+00:00,0.0,0.9635232155338547,holt_winters,validation
2016-04-01 00:00:00+00:00,0.0,0.797733512691571,holt_winters,validation
2016-05-01 00:00:00+00:00,1.0,0.6796486052588988,holt_winters,validation
2016-06-01 00:00:00+00:00,2.0,0.8330017795529159,holt_winters,validation
2016-07-01 00:00:00+00:00,0.0,4.172226152642118,holt_winters,validation
2016-08-01 00:00:00+00:00,5.0,5.921969422133056,holt_winters,validation
2016-09-01 00:00:00+00:00,5.0,6.951613542829328,holt_winters,validation
2016-10-01 00:00:00+00:00,1.0,4.656816375372737,holt_winters,validation
2016-11-01 00:00:00+00:00,1.0,5.1921239732488065,holt_winters,validation
2016-12-01 00:00:00+00:00,0.0,1.890877935796122,holt_winters,validation
2017-01-01 00:00:00+00:00,0.0,1.119964341420506,holt_winters,validation
2017-02-01 00:00:00+00:00,0.0,1.1566568127881558,holt_winters,validation
2017-03-01 00:00:00+00:00,0.0,0.9509864678324975,holt_winters,validation
2017-04-01 00:00:00+00:00,1.0,0.804438282610699,holt_winters,validation
2017-05-01 00:00:00+00:00,0.0,0.9368604342487332,holt_winters,validation
2017-06-01 00:00:00+00:00,2.0,0.7802090884627524,holt_winters,validation
2017-07-01 00:00:00+00:00,3.0,4.147942637950763,holt_winters,validation
2017-08-01 00:00:00+00:00,4.0,6.634622386812688,holt_winters,validation
2017-09-01 00:00:00+00:00,4.0,7.208444817369528,holt_winters,validation
2017-10-01 00:00:00+00:00,3.0,4.608114252453246,holt_winters,validation
2017-11-01 00:00:00+00:00,1.0,5.654271232668669,holt_winters,validation
2017-12-01 00:00:00+00:00,0.0,2.220614958949229,holt_winters,validation
2018-01-01 00:00:00+00:00,0.0,1.3682312071794465,holt_winters,validation
2018-02-01 00:00:00+00:00,0.0,1.3404487508971665,holt_winters,validation
2018-03-01 00:00:00+00:00,0.0,1.0946074402043382,holt_winters,validation
2018-04-01 00:00:00+00:00,0.0,0.919818675274851,holt_winters,validation
2018-05-01 00:00:00+00:00,1.0,0.7918108865700137,holt_winters,validation
2018-06-01 00:00:00+00:00,0.0,0.9351207560991734,holt_winters,validation
2018-07-01 00:00:00+00:00,2.0,3.784636119458206,holt_winters,validation
2018-08-01 00:00:00+00:00,3.0,6.155645944827605,holt_winters,validation
2018-09-01 00:00:00+00:00,7.0,6.643852275908035,holt_winters,validation
2018-10-01 00:00:00+00:00,3.0,4.938160396943424,holt_winters,validation
2018-11-01 00:00:00+00:00,0.0,5.872113195512175,holt_winters,validation
2018-12-01 00:00:00+00:00,0.0,2.126908901556858,holt_winters,validation
2019-01-01 00:00:00+00:00,0.0,1.2559072018343438,holt_winters,validation
2019-02-01 00:00:00+00:00,0.0,1.2949985892651688,holt_winters,validation
2019-03-01 00:00:00+00:00,0.0,1.061601030123812,holt_winters,validation
2019-04-01 00:00:00+00:00,0.0,0.8951010224663687,holt_winters,validation
2019-05-01 00:00:00+00:00,1.0,0.772723643946216,holt_winters,validation
2019-06-01 00:00:00+00:00,0.0,0.9199500328837513,holt_winters,validation
2019-07-01 00:00:00+00:00,2.0,3.772265476040091,holt_winters,validation
2019-08-01 00:00:00+00:00,3.0,6.145338171832707,holt_winters,validation
2019-09-01 00:00:00+00:00,7.0,6.635112021269933,holt_winters,validation
2019-10-01 00:00:00+00:00,6.0,4.930647562770653,holt_winters,validation
2019-11-01 00:00:00+00:00,1.0,6.585588230166899,holt_winters,validation
2019-12-01 00:00:00+00:00,0.0,2.855598141368791,holt_winters,validation
2020-01-01 00:00:00+00:00,0.0,2.0631389071189465,holt_winters,test
2020-02-01 00:00:00+00:00,0.0,1.6591862851338752,holt_winters,test
2020-03-01 00:00:00+00:00,0.0,1.3306518177840498,holt_winters,test
2020-04-01 00:00:00+00:00,0.0,1.1001131100234551,holt_winters,test
