model,horizon_hours,SEASON,origins,storms,track_mean_km,track_median_km,track_p90_km,track_p95_km,wind_mae_kt,wind_rmse_kt,wind_bias_kt,storm_macro_track_mean_km,storm_macro_wind_mae_kt,storm_track_ci95_low_km,storm_track_ci95_high_km,storm_wind_mae_ci95_low_kt,storm_wind_mae_ci95_high_kt
constant-motion,12,2025,175,11,67.8016876148286,61.81090882815562,132.64852269981048,146.30822652343463,9.742857142857142,14.2277395052261,-1.457142857142857,68.80224949698835,9.010610416929708,52.95352737301528,87.36861602889185,6.618718781218781,11.452816492450632
constant-motion,24,2020,379,25,192.01090732501737,149.31903037586218,423.96942434181017,522.0055056649205,14.432717678100264,22.516484726366983,0.5013192612137203,192.57757144736308,13.590055339173247,159.7478463844205,229.890028518548,10.00821866883117,18.28869447974933
constant-motion,24,2021,247,14,179.83176587627258,136.27727061599597,379.26747269908833,474.5936623773004,12.732793522267206,18.786570274322685,0.7894736842105263,176.56829862745266,12.824993458922032,146.86692354743005,209.04151039645188,9.280074241234956,17.32767857142856
constant-motion,24,2022,147,10,180.43557557420573,156.801525407003,347.15933222740534,424.5345502281427,12.482993197278912,18.18742183282639,-2.482993197278911,180.86908585478537,11.72493070860883,139.1063124661731,229.0135971613829,7.057579685099847,16.540850530955716
constant-motion,24,2023,316,15,174.14155367252502,156.21186229838543,320.83968422501493,388.59796421795335,10.759493670886076,14.8728790637714,-1.6455696202531649,178.30728556485175,10.774891774891776,153.16663384361033,202.80410101001144,8.299689754689753,13.890428090428086
constant-motion,24,2024,222,15,164.8023161179643,140.552790238632,318.76397039521083,367.8861619429121,18.10810810810811,23.142722086772455,0.7657657657657657,185.89629539150656,18.503467184988924,154.21165733863614,225.5900063702127,13.84070262165371,23.403903873903875
constant-motion,24,2025,154,10,178.76118853224642,159.83835064252975,335.61672985702546,373.3934672828139,18.571428571428573,25.012983641488088,-3.5714285714285716,193.4422662722211,15.51095571095571,143.89808291992202,258.34621858439635,10.903854166666669,19.838693181818183
constant-motion,48,2020,283,22,477.61669029875947,389.0667629474814,928.3452485746604,1228.619633085864,18.62190812720848,26.966803306387114,-0.3180212014134275,431.3160416718125,17.341338879975243,354.9706420658048,511.1942588357808,12.740668180725,22.869666046285356
constant-motion,48,2021,191,14,445.4602698981141,361.1547699289825,909.7638037758792,1052.9538424675309,18.06282722513089,26.407994981688397,1.675392670157068,442.90021907669654,16.659002252699196,353.0225539049581,535.5400858794778,10.215652056277056,25.053103915397
constant-motion,48,2022,109,8,475.54691927512215,411.9626736291403,1012.1332197359294,1146.0627428791497,21.880733944954127,27.912872305926747,-6.376146788990826,537.5250966302189,20.33926191090471,379.8742696803583,718.9761329852008,12.431801470588235,29.795994985165112
