model,horizon_hours,issue_intensity_bin,origins,storms,track_mean_km,north_bias_km,east_bias_km,north_mae_km,east_mae_km,wind_bias_kt,wind_mae_kt
persistence,12,Major (>=113),127,19,245.33028958891464,-151.0270551181102,60.2978223209586,154.00727559055116,165.29508429270263,8.779527559055119,14.448818897637794
persistence,12,TD (<34),127,30,230.13950795458598,-94.49051968503939,56.057402563112866,110.61877165354333,177.74024531139239,-1.5748031496062993,2.677165354330709
persistence,12,TS (34-63),864,94,223.10682631694786,-94.622,88.52487373053253,114.69567592592591,164.6376180896544,-1.2268518518518519,6.0532407407407405
persistence,24,Cat 1 (64-82),281,48,504.50999553746806,-336.65386476868326,67.72544021270674,344.0223772241993,312.67196579787844,-4.572953736654804,18.87900355871886
persistence,24,Cat 2 (83-95),111,31,552.0757816805724,-371.46781981981974,-29.925541464173325,374.47646846846845,349.7752929617744,4.009009009009009,17.882882882882882
persistence,24,Cat 3 (96-112),92,20,472.10766668187307,-308.792,148.98541851192388,308.79200000000003,308.2317600546557,7.336956521739131,17.98913043478261
persistence,24,Major (>=113),123,18,491.72960738645804,-308.3473495934959,109.36148288810698,311.424487804878,328.07744755334073,21.097560975609756,26.382113821138212
persistence,24,TD (<34),93,24,487.40402690955386,-189.7227956989247,118.97829069722441,225.1536774193548,386.2164374173006,-4.78494623655914,6.182795698924731
persistence,24,TS (34-63),765,85,425.7338652580433,-185.76615947712418,193.99069363748114,219.8169830065359,311.68357045069274,-3.7450980392156863,10.411764705882353
persistence,48,Cat 1 (64-82),208,41,862.5802713912909,-590.5311923076922,207.21963210718403,596.525346153846,525.8679984396449,-6.634615384615385,22.403846153846153
persistence,48,Cat 2 (83-95),77,25,961.2223468485344,-713.3154285714285,142.912153347463,716.2068571428571,503.4452674158527,9.675324675324676,24.350649350649352
persistence,48,Cat 3 (96-112),79,17,892.1574332962161,-615.2191392405063,310.92227312344437,615.2191392405063,583.3638976376917,13.544303797468354,20.379746835443036
persistence,48,Major (>=113),106,18,1024.6600113208503,-669.1802264150942,159.62902298576788,671.4906415094339,660.7691015129491,33.301886792452834,37.264150943396224
persistence,48,TD (<34),59,19,908.8261835466967,-305.46962711864404,426.9565426624,408.8651525423728,702.0671616255288,-10.59322033898305,10.932203389830509
persistence,48,TS (34-63),586,76,807.7526477605011,-387.53037542662116,393.7373190667283,426.66334470989756,584.898852195035,-9.479522184300341,17.704778156996586
ridge,6,Cat 1 (64-82),334,51,27.914681642557913,-2.9264599574994534,-0.8379153311261501,17.78575046027503,18.165388215179696,-0.87708304119131,4.626456261498597
ridge,6,Cat 2 (83-95),134,34,30.553935944625977,-1.01237620660185,-0.9974572547872659,18.51480272424934,20.417856190351596,-1.3756725698912085,5.970388501246125
ridge,6,Cat 3 (96-112),97,23,20.341397205476355,-0.13225061219877624,0.9835603144335872,14.618971203403348,11.647719946961864,0.26606262287761695,6.75615738307263
ridge,6,Major (>=113),128,19,23.92538807726433,-1.6679972667159806,-7.173264266835111,16.019209967887754,14.252524380318357,1.785258334307229,6.805287649197662
