SID,SEASON,NAME,ISO_TIME,USA_LAT,USA_LON,USA_WIND
2002258N10300,2002,ISIDORE,2002-09-22 00:00:00+00:00,22.1,-86.5,110.0
2002258N10300,2002,ISIDORE,2002-09-22 06:00:00+00:00,22.0,-87.4,110.0
2002258N10300,2002,ISIDORE,2002-09-22 12:00:00+00:00,21.9,-88.2,110.0
2002258N10300,2002,ISIDORE,2002-09-22 18:00:00+00:00,21.6,-88.9,110.0
2002258N10300,2002,ISIDORE,2002-09-23 00:00:00+00:00,21.0,-89.4,100.0
2002258N10300,2002,ISIDORE,2002-09-23 06:00:00+00:00,20.6,-89.6,70.0
2002258N10300,2002,ISIDORE,2002-09-23 12:00:00+00:00,20.1,-89.6,60.0
2002258N10300,2002,ISIDORE,2002-09-23 18:00:00+00:00,20.3,-89.4,50.0
2002258N10300,2002,ISIDORE,2002-09-24 00:00:00+00:00,20.5,-89.3,35.0
2002258N10300,2002,ISIDORE,2002-09-24 06:00:00+00:00,21.0,-89.5,45.0
2002258N10300,2002,ISIDORE,2002-09-24 12:00:00+00:00,21.7,-89.7,50.0
2002258N10300,2002,ISIDORE,2002-09-24 18:00:00+00:00,22.1,-89.8,50.0
2002258N10300,2002,ISIDORE,2002-09-25 00:00:00+00:00,23.0,-89.7,50.0
2002258N10300,2002,ISIDORE,2002-09-25 06:00:00+00:00,24.2,-89.7,50.0
2002258N10300,2002,ISIDORE,2002-09-25 12:00:00+00:00,25.4,-90.2,50.0
2002258N10300,2002,ISIDORE,2002-09-25 18:00:00+00:00,26.3,-90.4,55.0
2002258N10300,2002,ISIDORE,2002-09-26 00:00:00+00:00,27.5,-90.3,55.0
2002258N10300,2002,ISIDORE,2002-09-26 06:00:00+00:00,29.1,-90.3,55.0
2002258N10300,2002,ISIDORE,2002-09-26 12:00:00+00:00,30.0,-89.9,55.0
2002258N10300,2002,ISIDORE,2002-09-26 18:00:00+00:00,32.2,-89.8,40.0
2002258N10300,2002,ISIDORE,2002-09-27 00:00:00+00:00,33.0,-89.0,20.0
2002258N10300,2002,ISIDORE,2002-09-27 06:00:00+00:00,35.0,-86.5,20.0
2002258N10300,2002,ISIDORE,2002-09-27 12:00:00+00:00,39.1,-82.9,20.0
